init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2025-09-12 12:00:00,IO032025,41.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,42.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,42.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,43.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,EP132025,43.0,2025-09-12 18:00:00,0 days 06:00:00,17.77,-102.93,1009.8,24.4,114.91218566894533,0.0,1.1237404346466064,0.0,0.0,0.2693935632705688,0.0616143271327018,0.2158972471952438,0.0488564185798168,0.0,0.0,0.0,0.0
2025-09-12 12:00:00,IO032025,43.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,44.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,44.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,45.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,45.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,46.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,46.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,47.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,47.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,48.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,48.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
2025-09-12 12:00:00,EP132025,49.0,2025-09-12 12:00:00,0 days 00:00:00,17.0,-101.3,1006.0,35.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2025-09-12 12:00:00,IO032025,49.0,2025-09-12 12:00:00,0 days 00:00:00,-7.8,60.7,1006.0,25.0,83.0,0.0,0.0,0.0,0.0,,,,,,,,
